"fecha","indicativo","nombre","provincia","altitud","tmed","prec","tmin","horatmin","tmax","horatmax","dir","velmedia","racha","horaracha","presMax","horaPresMax","presMin","horaPresMin","hrMedia","hrMax","horaHrMax","hrMin","horaHrMin"
"2023-01-01","3195","MADRID, RETIRO","MADRID","667","11,3","0,1","7,8","05:30","14,8","14:40","28","1,1","7,5","23:50","948,3","00","942,8","19","51","66","Varias","35","14:20"
"2023-01-02","3195","MADRID, RETIRO","MADRID","667","10,4","0,0","9,0","Varias","11,8","14:40","99","1,4","5,3","Varias","949,1","24","943,8","02","84","93","08:30","58","00:00"
"2023-01-03","3195","MADRID, RETIRO","MADRID","667","9,0","0,0","5,9","Varias","12,1","14:30","04","1,7","5,6","06:50","954,8","23","948,9","01","78","91","21:10","57","16:10"
"2023-01-04","3195","MADRID, RETIRO","MADRID","667","7,4","0,0","3,1","07:30","11,6","15:00","06","0,6","4,2","Varias","956,6","10","953,8","24","69","86","04:00","45","15:40"
"2023-01-05","3195","MADRID, RETIRO","MADRID","667","7,3","0,0","3,0","06:30","11,6","14:40","05","0,8","5,0","03:10","953,8","00","948,4","18","65","83","Varias","46","15:50"
"2023-01-06","3195","MADRID, RETIRO","MADRID","667","6,2","0,0","1,9","07:00","10,5","16:00","22","1,1","4,4","18:30","949,3","10","946,3","16","78","95","23:40","52","15:50"
"2023-01-07","3195","MADRID, RETIRO","MADRID","667","5,2","6,3","2,5","01:00","7,9","23:20","09","0,8","3,3","07:30","947,6","11","941,4","24","94","99","Varias","88","14:00"
"2023-01-08","3195","MADRID, RETIRO","MADRID","667","10,4","4,2","7,7","00:00","13,2","13:50","23","3,9","16,9","12:30","941,4","00","936,7","17","96","99","Varias","92","Varias"
"2023-01-09","3195","MADRID, RETIRO","MADRID","667","9,3","0,0","5,9","23:30","12,7","13:50","29","2,5","10,3","12:40","950,4","24","940,3","01","64","99","Varias","44","14:00"
"2023-01-10","3195","MADRID, RETIRO","MADRID","667","7,0","0,0","3,4","06:50","10,5","16:20","28","1,7","5,3","20:10","952,9","10","950,3","00","83","98","23:30","72","13:50"
"2023-01-11","3195","MADRID, RETIRO","MADRID","667","7,0","0,1","4,9","23:00","9,2","15:00","25","1,1","4,4","02:10","953,4","23","948,9","05","96","99","Varias","89","15:40"
"2023-01-12","3195","MADRID, RETIRO","MADRID","667","6,2","0,0","1,7","08:10","10,6","15:30","22","1,4","3,9","14:10","953,4","10","949,3","24","80","99","Varias","60","15:50"
"2023-01-13","3195","MADRID, RETIRO","MADRID","667","7,4","0,0","3,7","00:10","11,1","15:50","07","1,1","4,2","09:00","951,9","11","948,7","04","79","99","Varias","60","14:40"
"2023-01-14","3195","MADRID, RETIRO","MADRID","667","6,0","0,0","1,8","08:20","10,3","15:00","10","0,8","3,3","01:10","950,9","00","946,0","24","87","99","Varias","70","14:50"
"2023-01-15","3195","MADRID, RETIRO","MADRID","667","7,8","0,0","4,3","01:20","11,2","13:50","27","3,1","11,1","15:00","946,0","00","943,1","14","75","99","Varias","45","15:20"
"2023-01-16","3195","MADRID, RETIRO","MADRID","667","6,5","0,4","2,9","04:50","10,1","16:30","26","5,6","16,1","23:50","944,0","00","928,0","24","83","93","10:00","52","01:10"
"2023-01-17","3195","MADRID, RETIRO","MADRID","667","6,4","0,2","2,8","23:59","9,9","Varias","28","5,3","18,1","07:50","928,0","00","923,5","06","67","97","06:40","45","11:00"
"2023-01-18","3195","MADRID, RETIRO","MADRID","667","4,0","0,0","2,1","05:00","5,9","13:30","28","3,3","13,9","07:50","940,9","24","925,9","02","62","83","00:20","44","13:40"
"2023-01-19","3195","MADRID, RETIRO","MADRID","667","4,4","0,3","1,2","04:30","7,7","15:50","27","3,3","11,1","13:00","943,2","10","936,4","22","67","91","23:59","51","12:00"
"2023-01-20","3195","MADRID, RETIRO","MADRID","667","10,2","0,0","6,6","02:50","13,7","13:40","25","3,1","9,7","00:30","942,4","21","936,3","01","57","94","Varias","42","13:30"
